source_file,product,slug,broken_link,type
"products/browser-sdk/pages/latest/reference/video/overview.mdx","browser-sdk","/js/reference/video","./video-roomsessiondevice.mdx","mdx-path"
"products/browser-sdk/pages/latest/reference/video/overview.mdx","browser-sdk","/js/reference/video","./video-roomsessionscreenshare.mdx","mdx-path"
"products/call-flow-builder/pages/core/overview.mdx","call-flow-builder","/","./nodes/handle_call/index.mdx","mdx-path"
"products/call-flow-builder/pages/core/overview.mdx","call-flow-builder","/","./nodes/play_audio_or_tts/index.mdx","mdx-path"
"products/call-flow-builder/pages/nodes/ai_agent.mdx","call-flow-builder","/reference/ai-agent","/platform/call-fabric/ai-agents","404"
"products/call-flow-builder/pages/nodes/gather_input.mdx","call-flow-builder","/reference/gather-input","../set_variables/index.mdx","mdx-path"
"products/call-flow-builder/pages/nodes/gather_input.mdx","call-flow-builder","/reference/gather-input","../conditions/index.mdx","mdx-path"
"products/call-flow-builder/pages/nodes/set_variables.mdx","call-flow-builder","/reference/set-variables","../unset_variables/index.mdx","mdx-path"
"products/call-flow-builder/pages/nodes/set_variables.mdx","call-flow-builder","/reference/set-variables","../request/index.mdx","mdx-path"
"products/call-flow-builder/pages/nodes/start_call_recording.mdx","call-flow-builder","/reference/start-call-recording","../stop_call_recording/index.mdx","mdx-path"
"products/call-flow-builder/pages/nodes/stop_call_recording.mdx","call-flow-builder","/reference/stop-call-recording","../start_call_recording/index.mdx","mdx-path"
"products/compatibility-api/pages/cxml/fax/receive.mdx","compatibility-api","/cxml/reference/fax/receive","./index.mdx#request-parameters","mdx-path"
"products/compatibility-api/pages/cxml/voice/sip-noun.mdx","compatibility-api","/cxml/reference/voice/sip","./dial.mdx#verb-attributes","mdx-path"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30002","404"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30003","404"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30005","404"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30006","404"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30007","404"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30008","404"
"products/compatibility-api/pages/rest-api/core/error-codes.mdx","compatibility-api","/error-codes","/platform/messaging/how-to-troubleshoot#30022","404"
"products/platform/pages/calling/fax/overview.mdx","platform","/fax","/platform/basics/how-to-test-with-ngrok","404"
"products/platform/pages/calling/fax/overview.mdx","platform","/fax","/platform/fax/list-faxes-to-csv","404"
"products/platform/pages/calling/fax/overview.mdx","platform","/fax","/platform/fax/filter-faxes","404"
"products/platform/pages/calling/voice/SIP/sip-trunking/index.mdx","platform","/voice/sip/trunking","/platform/basics/getting-started-without-code#sip","404"
"products/platform/pages/calling/voice/SIP/sip-trunking/index.mdx","platform","/voice/sip/trunking","../sip-domain-apps/index.mdx","mdx-path"
"products/platform/pages/calling/voice/overview.mdx","platform","/voice","/server-sdk/node/guides/weather-phone-ivr","404"
"products/platform/pages/calling/voice/overview.mdx","platform","/voice","/platform/basics/fraud","404"
"products/platform/pages/getting-started.mdx","platform","getting-started","/platform/basics/getting-started-without-code","404"
"products/platform/pages/messaging/sms/sms-best-practices.mdx","platform","/messaging/sms-best-practices","/platform/messaging/url-shortener","404"
"products/platform/pages/messaging/sms/the-campaign-registry/csps/index.mdx","platform","/messaging/campaign-registry/campaign-service-providers","/platform/messaging/pricing","404"
"products/platform/pages/messaging/sms/the-campaign-registry/csps/index.mdx","platform","/messaging/campaign-registry/campaign-service-providers","../registration/index.mdx","mdx-path"
"products/platform/pages/messaging/sms/the-campaign-registry/csps/index.mdx","platform","/messaging/campaign-registry/campaign-service-providers","../../getting-started/sms-best-practices-how-to-ensure-message-delivery.mdx#explicitly-prohibited-content","mdx-path"
"products/platform/pages/messaging/sms/the-campaign-registry/index.mdx","platform","/messaging/campaign-registry","/platform/messaging/platform-free-trial","404"
"products/platform/pages/messaging/sms/the-campaign-registry/index.mdx","platform","/messaging/campaign-registry","/platform/messaging/toll-free-number","404"
"products/platform/pages/platform/setup/api-credentials.mdx","platform","/your-signalwire-api-space","/platform/chat/simple-demo","404"
"products/realtime-sdk/pages/latest/tech-ref/chat/overview.mdx","realtime-sdk","/node/reference/chat","./chat-client.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/chat/overview.mdx","realtime-sdk","/node/reference/chat","./chat-chatmember.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/chat/overview.mdx","realtime-sdk","/node/reference/chat","./chat-chatmessage.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/core/overview.mdx","realtime-sdk","/node","/platform/call-fabric/relay-applications","404"
"products/realtime-sdk/pages/latest/tech-ref/core/realtime-client/index.mdx","realtime-sdk","/node/reference/realtime-client","../../voice/client/index.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/core/realtime-client/index.mdx","realtime-sdk","/node/reference/realtime-client","../../video/client/index.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/core/realtime-client/index.mdx","realtime-sdk","/node/reference/realtime-client","../../chat/client/index.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/core/realtime-client/index.mdx","realtime-sdk","/node/reference/realtime-client","../../task/client/index.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/core/realtime-client/index.mdx","realtime-sdk","/node/reference/realtime-client","../../pubsub/client/index.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/pubsub/overview.mdx","realtime-sdk","/node/reference/pubsub","./pubsub-client.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/pubsub/overview.mdx","realtime-sdk","/node/reference/pubsub","./pubsub-pubsubmessage.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/task/overview.mdx","realtime-sdk","/node/reference/task","./task-client.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./client/index.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./video-roomsession.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./video-roomsessionfullstate.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./video-roomsessionmember.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./video-roomsessionplayback.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./video-roomsessionrecording.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/video/overview.mdx","realtime-sdk","/node/reference/video","./video-roomsessionstream.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./voice-call.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./callcollect.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./calldetect.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./callplayback.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./callprompt.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./callrecording.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./callstate.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./calltap.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./voice-client.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./voice-devicebuilder.mdx","mdx-path"
"products/realtime-sdk/pages/latest/tech-ref/voice/overview.mdx","realtime-sdk","/node/reference/voice","./voice-playlist.mdx","mdx-path"
"products/realtime-sdk/pages/v3/tech-ref/messaging/client/methods/listen.mdx","realtime-sdk","/node/reference/messaging/client/listen","../index.mdx","mdx-path"
"products/swml/pages/guides/recipes/voicemail.mdx","swml","/guides/voicemail","/server-sdk/node/guides/voicemail-responder","404"
"products/swml/pages/reference/methods/ai/ai_swaig/functions/index.mdx","swml","/reference/ai/swaig/functions","./ai_swaig.data_map/data_map.output.mdx#actions","mdx-path"
"products/swml/pages/reference/methods/bedrock/swaig/functions/index.mdx","swml","/reference/amazon-bedrock/swaig/functions","./ai_swaig.data_map/index.mdx","mdx-path"
"products/swml/pages/reference/methods/bedrock/swaig/functions/index.mdx","swml","/reference/amazon-bedrock/swaig/functions","./parameters/index.mdx","mdx-path"
"products/swml/pages/reference/methods/bedrock/swaig/index.mdx","swml","/reference/amazon-bedrock/swaig","./functions/index.mdx","mdx-path"
"products/swml/pages/reference/methods/bedrock/swaig/index.mdx","swml","/reference/amazon-bedrock/swaig","./includes/index.mdx","mdx-path"
"products/swml/pages/reference/methods/cond.mdx","swml","/reference/cond","./index.mdx","mdx-path"
"products/swml/pages/reference/methods/denoise.mdx","swml","/reference/denoise","./stop_denoise.mdx","mdx-path"
