broken_url,found_on,source_file,line,old,new,confidence,rule
/docs/agents-sdk/advanced/call-recording,/docs/agents-sdk/python/guides/contexts-workflows,fern/products/agents-sdk/pages/advanced/contexts-workflows.mdx,91,| [Call Recording](/docs/agents-sdk/advanced/call-recording) | Record calls with various options |,| [Call Recording](/docs/agents-sdk/python/guides/call-recording) | Record calls with various options |,fuzzy,agents-sdk-remap
/docs/agents-sdk/advanced/search-knowledge,/docs/agents-sdk/python/guides/contexts-workflows,fern/products/agents-sdk/pages/advanced/contexts-workflows.mdx,94,| [Search & Knowledge](/docs/agents-sdk/advanced/search-knowledge) | Vector search integration |,| [Search & Knowledge](/docs/agents-sdk/python/guides/search-knowledge) | Vector search integration |,fuzzy,agents-sdk-remap
/docs/agents-sdk/building-agents/ai-parameters,/docs/agents-sdk/python/guides/agent-base,fern/products/agents-sdk/pages/building-agents/agent-base.mdx,131,| [AI Parameters](/docs/agents-sdk/building-agents/ai-parameters) | Behavior tuning |,| [AI Parameters](/docs/agents-sdk/python/guides/ai-parameters) | Behavior tuning |,fuzzy,agents-sdk-remap
/docs/agents-sdk/building-agents/call-flow,/docs/agents-sdk/python/guides/agent-base,fern/products/agents-sdk/pages/building-agents/agent-base.mdx,133,| [Call Flow](/docs/agents-sdk/building-agents/call-flow) | Customizing call answer behavior |,| [Call Flow](/docs/agents-sdk/python/guides/call-flow) | Customizing call answer behavior |,fuzzy,agents-sdk-remap
/docs/agents-sdk/building-agents/hints,/docs/agents-sdk/python/guides/agent-base,fern/products/agents-sdk/pages/building-agents/agent-base.mdx,132,| [Hints](/docs/agents-sdk/building-agents/hints) | Speech recognition improvement |,| [Hints](/docs/agents-sdk/python/guides/hints) | Speech recognition improvement |,fuzzy,agents-sdk-remap
/docs/agents-sdk/building-agents/static-vs-dynamic,/docs/agents-sdk/python/guides/agent-base,fern/products/agents-sdk/pages/building-agents/agent-base.mdx,128,| [Static vs Dynamic](/docs/agents-sdk/building-agents/static-vs-dynamic) | Choosing the right pattern |,| [Static vs Dynamic](/docs/agents-sdk/python/guides/static-vs-dynamic) | Choosing the right pattern |,fuzzy,agents-sdk-remap
/docs/agents-sdk/building-agents/ai-parameters,/docs/agents-sdk/python/guides/call-flow,fern/products/agents-sdk/pages/building-agents/call-flow.mdx,375,- [AI Parameters](/docs/agents-sdk/building-agents/ai-parameters) - Tuning AI behavior,- [AI Parameters](/docs/agents-sdk/python/guides/ai-parameters) - Tuning AI behavior,fuzzy,agents-sdk-remap
/docs/agents-sdk/core-concepts/architecture,/docs/agents-sdk/python/guides/exposing-agents,fern/products/agents-sdk/pages/getting-started/exposing-agents.mdx,368,"**Next Chapter: [Core Concepts](/docs/agents-sdk/core-concepts/architecture)** - Deep dive into SWML, SWAIG, and agent architecture","**Next Chapter: [Core Concepts](/docs/agents-sdk/python/guides/architecture)** - Deep dive into SWML, SWAIG, and agent architecture",fuzzy,agents-sdk-remap
/docs/agents-sdk/deployment/local-development,/docs/agents-sdk/python/guides/exposing-agents,fern/products/agents-sdk/pages/getting-started/exposing-agents.mdx,313,See the [Deployment](/docs/agents-sdk/deployment/local-development) chapter for production deployment guides.,See the [Deployment](/docs/agents-sdk/python/guides/local-development) chapter for production deployment guides.,fuzzy,agents-sdk-remap
/docs/agents-sdk/signalwire-integration/account-setup,/docs/agents-sdk/python/guides/exposing-agents,fern/products/agents-sdk/pages/getting-started/exposing-agents.mdx,370,**Or jump to: [SignalWire Integration](/docs/agents-sdk/signalwire-integration/account-setup)** - Connect your agent to phone numbers,**Or jump to: [SignalWire Integration](/docs/agents-sdk/python/guides/account-setup)** - Connect your agent to phone numbers,fuzzy,agents-sdk-remap
