assign,old_url,action,category,confidence,"old_link (based on column B, old_url)","new_link (based on column P, cur_full_url)",valid_match,notes,fern_file,cur_product_slug,cur_version_slug,cur_tab_slug,cur_page_slug,cur_full_url,"prop_product_slug
red = mismatch with cur",prop_version_slug,prop_page_slug,prop_full_url (generated from prev 3 cols),approved OR updated,doc_id,notes,notes 2
Manny,/sdks/agents-sdk,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk,signalwire.docs.buildwithfern.com/agents-sdk,y,,agents-sdk/pages/getting-started/introduction.mdx,agents-sdk,,guides,/,/agents-sdk,agents-sdk,,/python,/agents-sdk/python,TRUE,0135eac8-40d2-49b7-9a17-3bb33783b847,,
Manny,/sdks/agents-sdk/advanced/call-recording,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/call-recording,signalwire.docs.buildwithfern.com/agents-sdk/advanced/call-recording,y,,agents-sdk/pages/advanced/call-recording.mdx,agents-sdk,,guides,/advanced/call-recording,/agents-sdk/advanced/call-recording,agents-sdk,,/python/guides/call-recording,/agents-sdk/python/guides/call-recording,TRUE,6ad770a0-f2d5-464d-9d7d-bf865aea19e7,,
Manny,/sdks/agents-sdk/advanced/call-transfer,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/call-transfer,signalwire.docs.buildwithfern.com/agents-sdk/advanced/call-transfer,y,,agents-sdk/pages/advanced/call-transfer.mdx,agents-sdk,,guides,/advanced/call-transfer,/agents-sdk/advanced/call-transfer,agents-sdk,,/python/guides/call-transfer,/agents-sdk/python/guides/call-transfer,TRUE,e1814070-5304-4460-a298-69cd5b180414,,
Manny,/sdks/agents-sdk/advanced/contexts-workflows,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/contexts-workflows,signalwire.docs.buildwithfern.com/agents-sdk/advanced/contexts-workflows,y,,agents-sdk/pages/advanced/contexts-workflows.mdx,agents-sdk,,guides,/advanced/contexts-workflows,/agents-sdk/advanced/contexts-workflows,agents-sdk,,/python/guides/contexts-workflows,/agents-sdk/python/guides/contexts-workflows,TRUE,3836748c-8a44-440e-83e9-544d8abd821d,,
Manny,/sdks/agents-sdk/advanced/mcp-gateway,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/mcp-gateway,signalwire.docs.buildwithfern.com/agents-sdk/advanced/mcp-gateway,y,,agents-sdk/pages/advanced/mcp-gateway.mdx,agents-sdk,,guides,/advanced/mcp-gateway,/agents-sdk/advanced/mcp-gateway,agents-sdk,,/python/guides/mcp-gateway,/agents-sdk/python/guides/mcp-gateway,TRUE,7dff325f-6e85-4aa5-8381-06ef564bcc76,,
Manny,/sdks/agents-sdk/advanced/multi-agent,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/multi-agent,signalwire.docs.buildwithfern.com/agents-sdk/advanced/multi-agent,y,,agents-sdk/pages/advanced/multi-agent.mdx,agents-sdk,,guides,/advanced/multi-agent,/agents-sdk/advanced/multi-agent,agents-sdk,,/python/guides/multi-agent,/agents-sdk/python/guides/multi-agent,TRUE,cf51ad4d-15cc-4529-97bd-b3479cea7d15,,
Manny,/sdks/agents-sdk/advanced/search-knowledge,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/search-knowledge,signalwire.docs.buildwithfern.com/agents-sdk/advanced/search-knowledge,y,,agents-sdk/pages/advanced/search-knowledge.mdx,agents-sdk,,guides,/advanced/search-knowledge,/agents-sdk/advanced/search-knowledge,agents-sdk,,/python/guides/search-knowledge,/agents-sdk/python/guides/search-knowledge,TRUE,203bb180-9242-44c4-a3be-18663a0a3c58,,
Manny,/sdks/agents-sdk/advanced/state-management,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/advanced/state-management,signalwire.docs.buildwithfern.com/agents-sdk/advanced/state-management,y,,agents-sdk/pages/advanced/state-management.mdx,agents-sdk,,guides,/advanced/state-management,/agents-sdk/advanced/state-management,agents-sdk,,/python/guides/state-management,/agents-sdk/python/guides/state-management,TRUE,9d537c81-c725-4e69-8d64-feb6d227706c,,
Manny,/sdks/agents-sdk/api/agent-base,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/api/agent-base,signalwire.docs.buildwithfern.com/agents-sdk/api/agent-base,y,,agents-sdk/pages/reference/agent-base.mdx,agents-sdk,,reference,/api/agent-base,/agents-sdk/api/agent-base,agents-sdk,,/python/reference/agent-base,/agents-sdk/python/reference/agent-base,TRUE,fec5bfdc-64dd-4799-9002-bda1aaa190d3,,
Manny,/sdks/agents-sdk/api/cli-sw-agent-init,redirect,matched_changed,1,developer.signalwire.com/sdks/agents-sdk/api/cli-sw-agent-init,signalwire.docs.buildwithfern.com/agents-sdk/api/cli-sw-agent-init,y,,agents-sdk/pages/reference/cli-sw-agent-init.mdx,agents-sdk,,reference,/api/cli-sw-agent-init,/agents-sdk/api/cli-sw-agent-init,agents-sdk,,/python/reference/cli-sw-agent-init,/agents-sdk/python/reference/cli-sw-agent-init,TRUE,0b30b4f1-946e-419f-a034-115f162bd246,,
