old slug (from Docusaurus sitemap),currrent slug,NOTE
/rest/compatibility-api,/compatibility-api/rest,
/rest/compatibility-api/endpoints/calls,,
/rest/compatibility-api/endpoints/create-a-call,/compatibility-api/rest/calls/create-a-call,
/rest/compatibility-api/endpoints/list-all-calls,/compatibility-api/rest/calls/list-all-calls,
/rest/compatibility-api/endpoints/delete-a-call,/compatibility-api/rest/calls/delete-a-call,
/rest/compatibility-api/endpoints/retrieve-a-call,/compatibility-api/rest/calls/retrieve-a-call,
/rest/compatibility-api/endpoints/update-a-call,/compatibility-api/rest/calls/update-a-call,
/compatibility-api/guides/signalwire-status-callbacks/voice-status-callbacks,/compatibility-api/rest/calls/webhooks/voice-status-callback,
/rest/compatibility-api/endpoints/recording-transcriptions,,
/rest/compatibility-api/endpoints/delete-transcription,/compatibility-api/rest/recording-transcriptions/delete-transcription,
/rest/compatibility-api/endpoints/list-transcriptions,/compatibility-api/rest/recording-transcriptions/list-transcriptions,
/rest/compatibility-api/endpoints/retrieve-transcription,/compatibility-api/rest/recording-transcriptions/retrieve-transcription,
/compatibility-api/guides/signalwire-status-callbacks/transcription-status-callbacks,/compatibility-api/rest/recording-transcriptions/webhooks/transcription-status-callback,
/rest/compatibility-api/endpoints/recordings,,
/rest/compatibility-api/endpoints/create-recording,/compatibility-api/rest/recordings/create-recording,
/rest/compatibility-api/endpoints/delete-recording,/compatibility-api/rest/recordings/delete-recording,
/rest/compatibility-api/endpoints/list-recordings,/compatibility-api/rest/recordings/list-recordings,
/rest/compatibility-api/endpoints/retrieve-recording,/compatibility-api/rest/recordings/retrieve-recording,
/rest/compatibility-api/endpoints/update-recording,/compatibility-api/rest/recordings/update-recording,
/compatibility-api/guides/signalwire-status-callbacks/recording-status-callbacks,/compatibility-api/rest/recordings/webhooks/recording-status-callback,
/rest/compatibility-api/endpoints/incoming-phone-numbers,,
/rest/compatibility-api/endpoints/create-incoming-phone-number,/compatibility-api/rest/incoming-phone-numbers/create-incoming-phone-number,
/rest/compatibility-api/endpoints/delete-incoming-phone-number,/compatibility-api/rest/incoming-phone-numbers/delete-incoming-phone-number,
/rest/compatibility-api/endpoints/list-incoming-phone-numbers,/compatibility-api/rest/incoming-phone-numbers/list-incoming-phone-numbers,
